"customer_id","first_name","last_name","email","phone_number","date_of_birth","address","city","state","zip_code"
"C1","Uriah","Bridges","uriah.bridges@example.com","(401) 552-4059","1977-10-01","8413 Madison Ave","New York","New York","10005"
"C2","Paula","Small","paula.small@example.com","(688) 210-1295","1969-07-05","5064 Broadway","Jersey City","New Jersey","7004"
"C3","Edward","Buck","edward.buck@example.com","(434) 593-6233","2000-03-26","8055 Main St","New York","New York","10004"
"C4","Michael","Riordan","michael.riordan@example.com","(517) 270-8979","1981-02-08","2880 Main St","New York","New York","10003"
"C5","Jasmine","Onque","jasmine.onque@example.com","(214) 940-9676","1961-04-10","9447 Broadway","New York","New York","10005"
"C6","Maruk","Fraval","maruk.fraval@example.com","(497) 231-9316","1981-06-07","7435 Main St","New York","New York","10004"
"C7","Sharlene","Terry","sharlene.terry@example.com","(315) 731-8850","1976-10-26","3879 Lexington Ave","New York","New York","10004"
"C8","Myriam","Givens","myriam.givens@example.com","(484) 490-7576","1992-07-28","68 5th Ave","New York","New York","10003"
"C9","Dheepa","Nguyen","dheepa.nguyen@example.com","(851) 408-1609","1998-05-23","3040 Madison Ave","New York","New York","10003"
"C10","Bartholemew","Khemmich","bartholemew.khemmich@example.com","(928) 474-8079","1991-09-01","6633 Madison Ave","New York","New York","10004"
"C11","Xana","Potts","xana.potts@example.com","(945) 486-5392","1984-05-05","4322 Lexington Ave","New York","New York","10003"
"C12","Kaylah","Moon","kaylah.moon@example.com","(212) 639-3634","2001-01-03","1844 5th Ave","New York","New York","10003"
"C13","Kristen","Tate","kristen.tate@example.com","(368) 295-2362","2002-05-09","6579 5th Ave","New York","New York","10001"
"C14","Bobby","Rodgers","bobby.rodgers@example.com","(206) 483-9817","1979-01-13","3529 Broadway","New York","New York","10003"
"C15","Reid","Park","reid.park@example.com","(497) 341-2212","1963-11-13","7831 Broadway","New York","New York","10001"
"C16","Hector","Dalton","hector.dalton@example.com","(541) 373-5540","1992-03-13","7844 5th Ave","New York","New York","10005"
"C17","Angela","Molina","angela.molina@example.com","(318) 212-7144","1993-06-10","7468 5th Ave","New York","New York","10001"
"C18","Gerald","Preston","gerald.preston@example.com","(973) 344-6315","1984-08-13","2603 Broadway","Hoboken","New Jersey","7001"
"C19","Reilly","Moyer","reilly.moyer@example.com","(633) 876-6007","1987-01-07","8606 Broadway","New York","New York","10003"
"C20","Leon","Beard","leon.beard@example.com","(628) 751-7007","2005-09-08","8693 Lexington Ave","New York","New York","10004"
"C21","Charity","Miranda","charity.miranda@example.com","(726) 285-4269","1981-10-25","2052 5th Ave","Jersey City","New Jersey","7001"
"C22","Axel","Howe","axel.howe@example.com","(335) 882-2971","2004-10-15","4361 Main St","New York","New York","10004"
"C23","Milton","Wall","milton.wall@example.com","(672) 783-5115","1986-04-20","4145 Madison Ave","Trenton","New Jersey","7001"
"C24","Cory","Robinson","cory.robinson@example.com","(682) 943-3912","1993-01-26","1870 Madison Ave","Newark","New Jersey","7002"
"C25","Saniya","Yu","saniya.yu@example.com","(597) 630-5008","1988-05-24","3981 5th Ave","New York","New York","10003"
"C26","Alisa","James","alisa.james@example.com","(597) 396-6358","1973-05-22","2372 Madison Ave","New York","New York","10003"
"C27","Lincoln","Compton","lincoln.compton@example.com","(331) 697-6559","1980-03-31","4865 Madison Ave","New York","New York","10004"
"C28","James","Duke","james.duke@example.com","(286) 871-5757","1976-11-28","745 Broadway","New York","New York","10003"
"C29","Willow","Stuart","willow.stuart@example.com","(395) 726-3874","1963-02-09","7927 5th Ave","New York","New York","10004"
"C30","Celia","Curtis","celia.curtis@example.com","(423) 658-7683","1983-05-21","666 Main St","New York","New York","10001"
"C31","Valentin","Reilly","valentin.reilly@example.com","(304) 814-9660","1968-02-06","7004 Madison Ave","New York","New York","10003"
"C32","Esteban","Gilbert","esteban.gilbert@example.com","(509) 302-6461","1972-08-01","6414 Main St","Jersey City","New Jersey","7002"
"C33","Nevaeh","Soto","nevaeh.soto@example.com","(570) 927-2379","1997-02-21","5159 5th Ave","New York","New York","10001"
"C34","Arely","Patton","arely.patton@example.com","(441) 600-6685","2002-12-16","3585 5th Ave","Hoboken","New Jersey","7004"
"C35","Vance","Trujillo","vance.trujillo@example.com","(836) 642-5944","1979-03-31","9062 Madison Ave","New York","New York","10001"
"C36","Charlie","Koch","charlie.koch@example.com","(411) 723-8950","2004-10-09","8765 5th Ave","New York","New York","10003"
"C37","Sonny","Horne","sonny.horne@example.com","(462) 505-5752","1996-12-12","1123 Main St","New York","New York","10001"
"C38","Thomas","Chandler","thomas.chandler@example.com","(721) 777-3240","1962-01-09","4421 5th Ave","New York","New York","10002"
"C39","Sarai","Stone","sarai.stone@example.com","(464) 566-5556","1978-03-13","4425 Lexington Ave","New York","New York","10004"
"C40","Jerimiah","Harmon","jerimiah.harmon@example.com","(993) 557-4668","1997-10-06","1509 Main St","New York","New York","10005"
"C41","Cristal","Bolton","cristal.bolton@example.com","(350) 234-7873","1973-06-12","2339 Main St","New York","New York","10001"
"C42","Jaslene","Harding","jaslene.harding@example.com","(534) 496-9366","1970-06-01","3261 Madison Ave","New York","New York","10005"
"C43","Albert","Gonzalez","albert.gonzalez@example.com","(356) 337-6639","1975-12-01","6269 Broadway","Jersey City","New Jersey","7004"
"C44","Jaiden","Johnson","jaiden.johnson@example.com","(936) 524-1769","1987-08-08","9917 Broadway","New York","New York","10003"
"C45","Brendon","Mcconnell","brendon.mcconnell@example.com","(587) 659-8358","1976-04-29","9028 Madison Ave","New York","New York","10004"
"C46","Willie","Patterson","willie.patterson@example.com","(362) 568-3414","2002-12-21","4956 Main St","New York","New York","10002"
"C47","Weston","Preston","weston.preston@example.com","(510) 913-5867","1999-10-16","8552 Madison Ave","New York","New York","10005"
"C48","Lennon","Buchanan","lennon.buchanan@example.com","(390) 562-1552","1962-12-13","784 Madison Ave","New York","New York","10004"
"C49","Vicente","Merritt","vicente.merritt@example.com","(796) 696-1581","1995-10-10","5397 Lexington Ave","New York","New York","10005"
"C50","Hugo","Clay","hugo.clay@example.com","(658) 549-1827","1978-11-03","4484 Lexington Ave","New York","New York","10004"
"C51","Cohen","Raymond","cohen.raymond@example.com","(723) 466-5277","1969-07-10","6515 Broadway","New York","New York","10002"
"C52","Tia","Ellis","tia.ellis@example.com","(492) 989-2559","1981-04-11","6028 5th Ave","New York","New York","10001"
"C53","Graham","Rodriguez","graham.rodriguez@example.com","(654) 292-4400","1977-07-12","1315 Broadway","New York","New York","10002"
"C54","Joel","Mcmillan","joel.mcmillan@example.com","(396) 296-5954","1983-04-16","4132 Madison Ave","New York","New York","10005"
"C55","Maci","Frost","maci.frost@example.com","(527) 280-3297","1972-05-22","3575 Main St","New York","New York","10005"
"C56","Garrett","Zimmerman","garrett.zimmerman@example.com","(859) 828-8888","2005-12-28","8536 5th Ave","New York","New York","10002"
"C57","Eugene","Marks","eugene.marks@example.com","(321) 295-6797","1987-06-03","9974 Madison Ave","New York","New York","10001"
"C58","Geovanni","Pugh","geovanni.pugh@example.com","(875) 750-4659","1965-04-25","7209 5th Ave","New York","New York","10002"
"C59","Javon","Kelley","javon.kelley@example.com","(437) 344-3265","1960-02-08","1163 Lexington Ave","New York","New York","10004"
"C60","Laila","Woodard","laila.woodard@example.com","(622) 927-3618","1998-05-16","3256 5th Ave","New York","New York","10001"
"C61","Aidan","Harding","aidan.harding@example.com","(643) 290-2424","1963-01-08","8713 Lexington Ave","New York","New York","10005"
"C62","Cruz","Boyer","cruz.boyer@example.com","(689) 593-2622","1968-12-15","1096 5th Ave","New York","New York","10001"
"C63","Raven","Koch","raven.koch@example.com","(651) 761-4431","1963-07-09","8751 Broadway","Paterson","New Jersey","7004"
"C64","Damaris","Cisneros","damaris.cisneros@example.com","(500) 397-3035","1980-02-13","6772 Broadway","New York","New York","10004"
"C65","Alexus","Estes","alexus.estes@example.com","(642) 370-3442","1962-01-04","8561 Broadway","New York","New York","10005"
"C66","Kinsley","Flowers","kinsley.flowers@example.com","(712) 232-9055","1965-03-25","9034 Main St","New York","New York","10003"
"C67","Deborah","Love","deborah.love@example.com","(560) 674-9757","1962-03-26","5312 Madison Ave","New York","New York","10005"
"C68","Milagros","Francis","milagros.francis@example.com","(620) 861-4425","1971-04-07","7024 Lexington Ave","New York","New York","10001"
"C69","Elaine","Ewing","elaine.ewing@example.com","(540) 257-2298","1976-11-29","4950 Lexington Ave","New York","New York","10004"
"C70","Caiden","Munoz","caiden.munoz@example.com","(563) 703-6706","1981-06-18","5118 5th Ave","New York","New York","10005"
"C71","Jocelyn","Bradford","jocelyn.bradford@example.com","(720) 386-5203","1968-02-11","3875 Main St","New York","New York","10004"
"C72","Marques","Armstrong","marques.armstrong@example.com","(787) 640-2056","1971-01-13","648 Lexington Ave","New York","New York","10002"
"C73","Rohan","Chapman","rohan.chapman@example.com","(497) 533-7254","1994-11-22","8981 Broadway","Newark","New Jersey","7002"
"C74","Emmanuel","Franklin","emmanuel.franklin@example.com","(665) 426-5517","1963-07-05","8076 5th Ave","Jersey City","New Jersey","7003"
"C75","Clayton","Mccormick","clayton.mccormick@example.com","(710) 336-1558","1968-01-04","6762 Lexington Ave","New York","New York","10001"
"C76","Darius","Krause","darius.krause@example.com","(706) 203-7112","1978-10-09","6043 Main St","New York","New York","10003"
"C77","Ahmed","Hawkins","ahmed.hawkins@example.com","(779) 244-6678","1984-04-29","73 5th Ave","New York","New York","10003"
"C78","Kymani","Benjamin","kymani.benjamin@example.com","(224) 649-7966","1971-08-22","7139 Main St","New York","New York","10002"
"C79","Callum","Mcdaniel","callum.mcdaniel@example.com","(913) 644-7572","1990-11-24","3132 Main St","Trenton","New Jersey","7002"
"C80","Zariah","Black","zariah.black@example.com","(738) 423-1851","1996-05-30","6425 Madison Ave","New York","New York","10004"
"C81","Marlon","Ford","marlon.ford@example.com","(702) 307-3528","1968-01-29","3519 Broadway","New York","New York","10002"
"C82","Slade","Griffith","slade.griffith@example.com","(208) 520-5045","1980-05-24","6171 Main St","New York","New York","10001"
"C83","Lee","Frye","lee.frye@example.com","(282) 668-7317","1987-03-25","5957 Main St","Hoboken","New Jersey","7001"
"C84","Aylin","Berg","aylin.berg@example.com","(482) 298-4870","1992-01-07","7892 Broadway","New York","New York","10003"
"C85","Neveah","Rowe","neveah.rowe@example.com","(345) 531-8000","1970-05-16","7307 Broadway","New York","New York","10005"
"C86","Keith","Baxter","keith.baxter@example.com","(353) 737-3661","1964-03-16","7471 Main St","New York","New York","10001"
"C87","Maya","Mccann","maya.mccann@example.com","(925) 556-1096","2005-12-16","2154 5th Ave","New York","New York","10001"
"C88","Ellie","Gill","ellie.gill@example.com","(442) 638-8482","1968-06-07","9623 5th Ave","New York","New York","10001"
"C89","Ryann","Rubio","ryann.rubio@example.com","(505) 281-3414","1974-09-18","6125 Lexington Ave","New York","New York","10002"
"C90","Paris","Carr","paris.carr@example.com","(543) 471-5816","1963-05-19","1603 Lexington Ave","New York","New York","10005"
"C91","Adriel","Wiggins","adriel.wiggins@example.com","(555) 987-1939","1964-01-03","2427 Madison Ave","New York","New York","10002"
"C92","Sanaa","Glass","sanaa.glass@example.com","(857) 350-7766","1968-11-21","5761 Madison Ave","New York","New York","10003"
"C93","Ryan","Lynch","ryan.lynch@example.com","(481) 611-6184","2003-02-08","216 Broadway","New York","New York","10005"
"C94","Harper","Ramos","harper.ramos@example.com","(799) 416-3259","1983-01-19","3034 Lexington Ave","New York","New York","10005"
"C95","Khalil","Mendez","khalil.mendez@example.com","(597) 598-2959","2001-11-25","3828 Lexington Ave","New York","New York","10004"
"C96","Lizeth","Holland","lizeth.holland@example.com","(889) 804-4886","1976-07-23","4316 Main St","New York","New York","10003"
"C97","Damien","Howe","damien.howe@example.com","(600) 662-8910","1982-07-21","9788 Main St","New York","New York","10003"
"C98","Nicholas","Obrien","nicholas.obrien@example.com","(374) 602-9463","2004-11-15","4271 Broadway","New York","New York","10005"
"C99","Mildred","Gentry","mildred.gentry@example.com","(292) 707-1252","1962-04-03","9120 5th Ave","New York","New York","10002"
"C100","Wilson K","Adinolfi","wilson k.adinolfi@example.com","(652) 599-8752","1982-03-02","3888 Lexington Ave","New York","New York","10004"
"C101","Joanne","Handschiegl","joanne.handschiegl@example.com","(727) 416-3705","1981-08-11","6908 Madison Ave","New York","New York","10005"
"C102","Dianna","Blount","dianna.blount@example.com","(569) 403-1827","1976-07-21","6815 Main St","New York","New York","10004"
"C103","Jean","Crimmings","jean.crimmings@example.com","(605) 524-5643","1967-09-28","4699 5th Ave","New York","New York","10004"
"C104","Nore","Sadki","nore.sadki@example.com","(256) 314-1357","1966-09-19","5689 5th Ave","New York","New York","10002"
"C105","Susan","Lundy","susan.lundy@example.com","(311) 325-8626","1965-06-10","9664 Lexington Ave","New York","New York","10005"
