"employee_id","first_name","last_name","position","date_hired","address","contact_number","employment_status"
"E1","Brandon","Martin","Store Manager","2013-08-07","Unit 8989 Box 4169
 DPO AA 59272","(312)555-0184","On Leave"
"E2","Monica","Garza","Store Manager","2016-12-05","36921 Benson Pike
 Amandamouth, PA 69214","(570)841-6515","Active"
"E3","Gina","Bailey","Store Manager","2013-10-01","35455 Sarah Lakes
 Griffinchester, UT 68291","(810)706-7631","Active"
"E4","Anthony","Hicks","Store Manager","2015-03-10","58959 William Knoll Suite 738
 Kathleenshire, MO 86024","(608)818-6555","Active"
"E5","Renee","Chang","Store Manager","2019-02-05","869 Michael Brooks Apt. 369
 East Michaelfort, RI 14258","(617)798-5530","Active"
"E6","George","Green","Inventory Specialist","2022-08-12","PSC 3965, Box 0721
 APO AP 27471","(546)601-3566","Active"
"E7","Justin","Dixon","Inventory Specialist","2023-05-13","125 Scott Passage
 East Michaelmouth, MT 14919","(213) 555-9043","Active"
"E8","Jeanette","Myers","Inventory Specialist","2019-01-14","49620 Cooke Fork Suite 455
 Schultzfurt, CT 45273","(375)288-7180","Active"
"E9","Lori","Young","Inventory Specialist","2020-05-03","318 Jonathan Hill Apt. 737
 East Caitlin, WY 60685","(358)804-2507","Active"
"E10","Destiny","Burke","Inventory Specialist","2021-10-17","8270 Stephanie Parkways Suite 569
 Hollyside, SC 37544","(718) 555-3481","On Leave"
"E11","Kimberly","Castaneda","Assistant Manager","2022-01-25","78214 Tara Garden
 Boyerland, OK 03996","(404) 555-5069","Active"
"E12","Tina","Howard","Assistant Manager","2023-07-08","93784 Wilcox Rest
 Shaneburgh, GA 19549","(865)836-4954","Active"
"E13","Katherine","Johnson","Assistant Manager","2024-02-19","79304 Anthony Courts Apt. 974
 Adamside, SD 80821","(323) 555-7614","Active"
"E14","Amber","Murphy","Assistant Manager","2020-09-12","4008 Teresa Radial Suite 239
 Barrton, MA 32147","(510)164-9182","On Leave"
"E15","Keith","Mills","Assistant Manager","2023-11-29","07675 Johnson Lodge
 Suttonhaven, MN 37340","(214) 487-4065","Active"
"E16","Dawn","Pope","Cashier","2021-04-15","8407 Louis Turnpike Apt. 933
 West Larryhaven, IN 27453","(713) 523-7294","Active"
"E17","Tina","Marshall","Cashier","2022-08-26","312 Maxwell Plains
 North Stephanie, CA 41211","(818) 555-6730","Active"
"E18","Michael","Butler","Cashier","2024-12-05","USNS Sanders
 FPO AP 26413","(408) 555-8390","Active"
"E19","Megan","Anderson","Cashier","2022-03-06","97215 Lincoln Ridge
East Patrick, NY 11432","(917) 634-0427","Active"
"E20","Caitlin","Chavez","Cashier","2022-05-13","85409 Maple Hollow
South Madison, TX 75220","(917) 690-0639","Active"
"E21","Sarah","Johnson","Cashier","2022-03-22","62043 Oak Lane
North Taylor, CA 90210","(312) 867-0451","Active"
"E22","David","Brown","Cashier","2021-05-05","73268 Willow Grove
West Morgan, FL 33125","(646) 320-7845","Active"
"E23","Emily","Davis","Cashier","2020-05-16","19576 Cedar Point
East Jackson, WA 98115","(213) 940-6732","Active"
"E24","Micahel","Wilson","Cashier","2022-09-17","45987 Pine Crest
North Logan, CO 80203","(415) 768-0934","Active"
"E25","Laura","Martinez","Cashier","2021-07-13","31624 Birch Hollow
South Harrison, IL 60614","(202) 590-1347","Active"
